,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error,lr
0,1.3890466690063477,1.8440296649932861,0.5550288558006287,0.6683356165885925,1e-04
1,0.6843841671943665,0.9403695464134216,0.4646570384502411,0.6404078602790833,1e-04
2,0.49149924516677856,0.6856932044029236,0.5630795359611511,0.7426140308380127,1e-04
3,0.4637654721736908,0.6483317017555237,0.3366786539554596,0.46243128180503845,1e-04
4,0.38632747530937195,0.543475866317749,0.30442091822624207,0.43585848808288574,1e-04
5,0.38242554664611816,0.5455177426338196,0.3852632939815521,0.5385096073150635,1e-04
6,0.3897061049938202,0.5515711307525635,0.3375453054904938,0.4773109555244446,1e-04
7,0.37643125653266907,0.5381165146827698,0.2688872814178467,0.3744448125362396,1e-04
8,0.3489843010902405,0.4922935664653778,0.3285819888114929,0.43113768100738525,1e-04
9,0.32807251811027527,0.46755874156951904,0.4363879859447479,0.6013612151145935,1e-04
10,0.3571554124355316,0.5061110258102417,0.2823939323425293,0.40240538120269775,1e-04
11,0.30012673139572144,0.4303770363330841,0.22427156567573547,0.3276306688785553,1e-04
12,0.2940751314163208,0.42427733540534973,0.23675650358200073,0.333637535572052,1e-04
13,0.2763623297214508,0.3877287209033966,0.24928748607635498,0.36391767859458923,1e-04
14,0.2885957658290863,0.41214296221733093,0.21570253372192383,0.32280558347702026,1e-04
15,0.2764108180999756,0.3919983506202698,0.2071419656276703,0.2905598282814026,1e-04
16,0.33864903450012207,0.4933493137359619,0.23613974452018738,0.3383760154247284,1e-04
17,0.25623881816864014,0.3656262755393982,0.19864682853221893,0.2819020748138428,1e-04
18,0.28626739978790283,0.41154077649116516,0.2403763085603714,0.3211272060871124,1e-04
19,0.30565616488456726,0.43791481852531433,0.3594392240047455,0.4834429919719696,1e-04
20,0.30739694833755493,0.42997005581855774,0.32386401295661926,0.44296520948410034,1e-04
21,0.2569696605205536,0.3652550280094147,0.2292948216199875,0.3215397000312805,1e-04
22,0.2499711960554123,0.3540375828742981,0.1869189292192459,0.2680971920490265,1e-04
23,0.2812660038471222,0.3984549343585968,0.18949484825134277,0.2606445848941803,1e-04
24,0.22834110260009766,0.32231733202934265,0.17208978533744812,0.24761345982551575,1e-04
25,0.23093585669994354,0.32545986771583557,0.20144221186637878,0.2930556535720825,1e-04
26,0.23615558445453644,0.33708998560905457,0.2120061218738556,0.307992160320282,1e-04
27,0.23277610540390015,0.3264637291431427,0.18235339224338531,0.25334465503692627,1e-04
28,0.22255295515060425,0.30919674038887024,0.1524316817522049,0.22919993102550507,1e-04
29,0.2299196571111679,0.32572492957115173,0.1961677372455597,0.2661282420158386,1e-04
30,0.25718918442726135,0.36127763986587524,0.25033652782440186,0.35017696022987366,1e-04
31,0.2645920217037201,0.37331876158714294,0.20566211640834808,0.27211251854896545,1e-04
32,0.24124141037464142,0.34861305356025696,0.2620450556278229,0.3458840548992157,1e-04
33,0.21576166152954102,0.30703204870224,0.19361095130443573,0.2885436415672302,1e-04
34,0.19448284804821014,0.28300949931144714,0.1572352647781372,0.23054355382919312,5e-05
35,0.19552470743656158,0.2772599756717682,0.13816161453723907,0.20781251788139343,5e-05
36,0.18758057057857513,0.27266162633895874,0.15861468017101288,0.23852470517158508,5e-05
37,0.2071162462234497,0.298525333404541,0.17695116996765137,0.26680710911750793,5e-05
38,0.18140676617622375,0.25919491052627563,0.15549783408641815,0.21950960159301758,5e-05
39,0.17566224932670593,0.2504996955394745,0.13342201709747314,0.1975375860929489,5e-05
40,0.16741320490837097,0.24334202706813812,0.13747306168079376,0.2016320824623108,5e-05
41,0.18889446556568146,0.2760196328163147,0.17619086802005768,0.2447376549243927,5e-05
42,0.18678510189056396,0.2753249704837799,0.13085927069187164,0.19203881919384003,5e-05
43,0.1729084700345993,0.24626998603343964,0.12856903672218323,0.18772269785404205,5e-05
44,0.16810496151447296,0.24454541504383087,0.15650415420532227,0.22062090039253235,5e-05
45,0.16537703573703766,0.23822230100631714,0.12721684575080872,0.18571889400482178,5e-05
46,0.158909410238266,0.23181721568107605,0.13457120954990387,0.18952932953834534,5e-05
47,0.17583976686000824,0.2535213232040405,0.13427728414535522,0.1982477456331253,5e-05
48,0.17017720639705658,0.24827826023101807,0.1286333203315735,0.18561507761478424,5e-05
49,0.1678057312965393,0.25099977850914,0.15762045979499817,0.23359563946723938,5e-05
50,0.17167545855045319,0.2502041757106781,0.1915319412946701,0.2691224217414856,5e-05
51,0.15664663910865784,0.23198728263378143,0.13552972674369812,0.20053812861442566,2.5e-05
52,0.1494283229112625,0.21930186450481415,0.12305407971143723,0.17972475290298462,2.5e-05
53,0.14864234626293182,0.2210739105939865,0.12184585630893707,0.17545431852340698,2.5e-05
54,0.1412326991558075,0.20746120810508728,0.1234225258231163,0.17917348444461823,2.5e-05
