,loss,accuracy,val_loss,val_accuracy,lr
0,1.3821614980697632,0.31339031457901,1.2847808599472046,0.3770180344581604,1e-04
1,1.0556831359863281,0.45584046840667725,0.7578925490379333,0.659069299697876,1e-04
2,0.8814657330513,0.6068376302719116,0.7720889449119568,0.6467236280441284,1e-04
3,0.8425441384315491,0.6025640964508057,0.9452640414237976,0.6448243260383606,1e-04
4,0.8195034861564636,0.5997151136398315,0.6733167767524719,0.6448243260383606,1e-04
5,0.7067224383354187,0.6331908702850342,0.6534895300865173,0.680911660194397,1e-04
6,0.7017748355865479,0.6552706360816956,0.7104776501655579,0.6258309483528137,1e-04
7,0.7396717667579651,0.6339031457901001,0.688321053981781,0.6315289735794067,1e-04
8,0.6885824203491211,0.6574074029922485,0.7117818593978882,0.6457740068435669,1e-04
9,0.7043882012367249,0.6452991366386414,0.7503815293312073,0.6239316463470459,1e-04
10,0.6717814207077026,0.6666666865348816,0.677543580532074,0.670465350151062,1e-04
11,0.6179770231246948,0.7029914259910583,0.6347776055335999,0.6904083490371704,5e-05
12,0.5900961756706238,0.7029914259910583,0.5943317413330078,0.702754020690918,5e-05
13,0.5762271881103516,0.7215099930763245,0.5771787166595459,0.7207977175712585,5e-05
14,0.5625491142272949,0.7293447256088257,0.552081286907196,0.7426400780677795,5e-05
15,0.5150521993637085,0.754273533821106,0.5529837608337402,0.7236467003822327,5e-05
16,0.5051900744438171,0.7656695246696472,0.6145579218864441,0.7160493731498718,5e-05
17,0.5850141644477844,0.7129629850387573,0.5734772086143494,0.7540360689163208,5e-05
18,0.5158847570419312,0.7628205418586731,0.6499622464179993,0.7207977175712585,5e-05
19,0.5198913216590881,0.7613959908485413,0.5155708193778992,0.7692307829856873,5e-05
20,0.45971983671188354,0.7934473156929016,0.5104615092277527,0.7872744798660278,5e-05
21,0.4515407085418701,0.7955840229988098,0.5318045616149902,0.7625830769538879,5e-05
22,0.4429655969142914,0.8027065396308899,0.4668336510658264,0.7939221262931824,5e-05
23,0.4238162040710449,0.811253547668457,0.5181868672370911,0.7673314213752747,5e-05
24,0.42564165592193604,0.8027065396308899,0.5013663172721863,0.7853751182556152,5e-05
25,0.42836540937423706,0.7913105487823486,0.47645875811576843,0.7920227646827698,5e-05
26,0.46854016184806824,0.7856125235557556,0.42382463812828064,0.8138651251792908,5e-05
27,0.3913171589374542,0.8269230723381042,0.5006164908409119,0.7749287486076355,5e-05
28,0.4371001720428467,0.80982905626297,0.4940952956676483,0.7939221262931824,5e-05
29,0.43126705288887024,0.809116780757904,0.3980388343334198,0.8271604776382446,5e-05
30,0.37132900953292847,0.8247863054275513,0.48593422770500183,0.8015194535255432,5e-05
31,0.35722488164901733,0.8440170884132385,0.448578417301178,0.7768281102180481,5e-05
32,0.3555709421634674,0.8404558300971985,0.3435460925102234,0.8395061492919922,5e-05
33,0.3645286560058594,0.8319088220596313,0.4804157316684723,0.7768281102180481,5e-05
34,0.3592436611652374,0.8254985809326172,0.4103794991970062,0.8328585028648376,5e-05
35,0.3313131630420685,0.8511396050453186,0.3801528513431549,0.8195631504058838,5e-05
36,0.3457798659801483,0.8532763719558716,0.3821221590042114,0.8300095200538635,5e-05
37,0.4163120985031128,0.8183760643005371,0.3559817969799042,0.8404558300971985,5e-05
38,0.2664731740951538,0.8760683536529541,0.32383993268013,0.8660968542098999,2.5e-05
39,0.23221351206302643,0.9031339287757874,0.2874132990837097,0.8784425258636475,2.5e-05
40,0.20704922080039978,0.9180911779403687,0.2622298002243042,0.8860399127006531,2.5e-05
41,0.20724384486675262,0.9166666865348816,0.3216341733932495,0.8812915682792664,2.5e-05
42,0.20909227430820465,0.9152421355247498,0.3319227695465088,0.8860399127006531,2.5e-05
43,0.196239173412323,0.9202279448509216,0.3386440873146057,0.8679962158203125,2.5e-05
44,0.16354189813137054,0.9294871687889099,0.2073199301958084,0.9287749528884888,2.5e-05
45,0.1790580302476883,0.930911660194397,0.24528492987155914,0.8974359035491943,2.5e-05
46,0.1646532416343689,0.9358974099159241,0.2893212139606476,0.8898385763168335,2.5e-05
47,0.17896877229213715,0.9323362112045288,0.21247300505638123,0.9088318943977356,2.5e-05
48,0.14762242138385773,0.9430199265480042,0.3012154698371887,0.8926875591278076,2.5e-05
49,0.11974268406629562,0.9522792100906372,0.2214902639389038,0.9192782640457153,2.5e-05
